show,season,episode_n,season_n,title,director,writer,air_date
The Mandalorian,Season 1,1,1,Chapter 1: The Mandalorian,Dave Filoni,Jon Favreau,12-Nov-19
The Mandalorian,Season 1,2,2,Chapter 2: The Child,Rick Famuyiwa,Jon Favreau,15-Nov-19
The Mandalorian,Season 1,3,3,Chapter 3: The Sin,Deborah Chow,Jon Favreau,22-Nov-19
The Mandalorian,Season 1,4,4,Chapter 4: Sanctuary,Bryce Dallas Howard,Jon Favreau,29-Nov-19
The Mandalorian,Season 1,5,5,Chapter 5: The Gunslinger,Dave Filoni,Dave Filoni,6-Dec-19
The Mandalorian,Season 1,6,6,Chapter 6: The Prisoner,Rick Famuyiwa,Story by : Christopher Yost,13-Dec-19
The Mandalorian,Season 1,7,7,Chapter 7: The Reckoning,Deborah Chow,Jon Favreau,18-Dec-19
The Mandalorian,Season 1,8,8,Chapter 8: Redemption,Taika Waititi,Jon Favreau,27-Dec-19
The Mandalorian,Season 1,9,1,Chapter 9: The Marshal,Jon Favreau,Jon Favreau,30-Oct-20
The Mandalorian,Season 2,10,2,Chapter 10: The Passenger,Peyton Reed,Jon Favreau,6-Nov-20
The Mandalorian,Season 2,11,3,Chapter 11: The Heiress,Bryce Dallas Howard,Jon Favreau,13-Nov-20
The Mandalorian,Season 2,12,4,Chapter 12: The Siege,Carl Weathers,Jon Favreau,20-Nov-20
The Mandalorian,Season 2,13,5,Chapter 13: The Jedi,Dave Filoni,Dave Filoni,27-Nov-20
The Mandalorian,Season 2,14,6,Chapter 14: The Tragedy,Robert Rodriguez,Jon Favreau,4-Dec-20
The Mandalorian,Season 2,15,7,Chapter 15: The Believer,Rick Famuyiwa,Rick Famuyiwa,11-Dec-20
The Mandalorian,Season 2,16,8,Chapter 16: The Rescue,Peyton Reed,Jon Favreau,18-Dec-20
The Mandalorian,Season 2,17,1,Chapter 17: The Apostate,Rick Famuyiwa,Jon Favreau,1-Mar-23
The Mandalorian,Season 2,18,2,Chapter 18: The Mines of Mandalore,Rachel Morrison,Jon Favreau,8-Mar-23
The Mandalorian,Season 2,19,3,Chapter 19: The Convert,Lee Isaac Chung,Noah Kloor & Jon Favreau,15-Mar-23
